id,marca,modelo,version,año,tipo_carroceria,transmision,capacidad_combustible_lt,colores,modelo_motor,potencia_hp,cilindrada,neumaticos,puertas,asientos,equipamiento_destacado,garantia_años,garantia_km,link_foto
VEH001,Toyota,Corolla,XLE Premium,2024,Sedan,Automática,50,"Blanco, Negro, Plata, Azul",2.0L DOHC,168,1998 cc,215/55R17,4,5,"ABS, Control de estabilidad, 8 airbags, A/C automático dual, Cámara de retroceso, Pantalla táctil 9 pulgadas, Apple CarPlay, Android Auto, Bluetooth",3,100000,https://www.toyota.com/corolla/gallery/exterior
VEH002,Honda,CR-V,Touring,2024,SUV,Automática CVT,57,"Rojo, Blanco, Negro, Gris Metálico",1.5L Turbo,190,1498 cc,235/60R18,5,7,"AWD, Sensor de punto ciego, Alerta de colisión frontal, Techo panorámico, Asientos de cuero, Sistema de sonido premium Bose, Control de crucero adaptativo",3,100000,https://automobiles.honda.com/cr-v
VEH003,Ford,F-150,Lariat 4x4,2024,Pickup,Automática de 10 velocidades,98,"Azul Velocity, Negro Agate, Blanco Oxford, Rojo Rapid",3.5L V6 EcoBoost,400,3496 cc,275/65R18,4,6,"4WD, Control de tracción en descenso, Caja de carga con revestimiento, Sistema Pro Trailer Backup Assist, SYNC 4 con pantalla 12 pulgadas, Asientos calefaccionados y ventilados",5,160000,https://www.ford.com/trucks/f150/
VEH004,Chevrolet,Silverado 1500,LT Trail Boss,2024,Pickup,Automática de 8 velocidades,89,"Blanco Summit, Negro Onyx, Plata Satin Steel",5.3L V8,355,5328 cc,265/70R17,4,6,"4x4, Suspensión Z71 off-road, Protección inferior, Control de tracción, MyLink con pantalla 8 pulgadas, Cámara HD de visión trasera, Puertos USB múltiples",5,160000,https://www.chevrolet.com/trucks/silverado-1500
VEH005,Nissan,Kicks,Advance,2023,SUV Compacto,Automática CVT,41,"Rojo, Blanco, Negro, Naranja Energético",1.6L,122,1598 cc,205/55R17,5,5,"Faros LED, Sistema de audio Bose Personal Plus, Cámara 360°, Freno de emergencia automático, Control de crucero inteligente, Asientos semi-piel",3,100000,https://www.nissan.com/kicks
VEH006,Mazda,CX-5,Signature AWD,2024,SUV,Automática de 6 velocidades,56,"Soul Red Crystal, Machine Gray, Snowflake White",2.5L Turbo,250,2488 cc,225/55R19,5,5,"AWD, i-Activsense suite de seguridad, Asientos de cuero Nappa, Sistema de sonido Bose de 10 bocinas, Head-up display, Cargador inalámbrico, Techo corredizo",3,100000,https://www.mazdausa.com/vehicles/cx-5
VEH007,Hyundai,Tucson,Limited Hybrid,2024,SUV,Automática de doble embrague,62,"Blanco, Negro, Plata, Azul Intenso",1.6L Turbo Híbrido,230,1598 cc,235/60R18,5,5,"Sistema híbrido, Conducción autónoma nivel 2, Pantalla digital 10.25 pulgadas, Cargador inalámbrico, Sistema de sonido Harman Kardon, Asientos calefaccionados delanteros y traseros",5,100000,https://www.hyundaiusa.com/us/en/vehicles/tucson
VEH008,Volkswagen,Jetta,Highline,2024,Sedan,Automática Tiptronic,50,"Blanco Puro, Negro Profundo, Plata Reflex",1.4L TSI Turbo,150,1395 cc,205/55R16,4,5,"Climatizador automático, App-Connect con Apple CarPlay, Sensores de estacionamiento traseros, Llantas de aleación 16 pulgadas, Faros bi-xenón",3,100000,https://www.vw.com/models/jetta
VEH009,Kia,Sportage,EX Premium,2024,SUV,Automática de 8 velocidades,62,"Blanco, Negro, Gris Grafito, Verde Bosque",2.5L,187,2497 cc,235/60R18,5,5,"AWD opcional, Pantalla táctil 12.3 pulgadas, Sistema de navegación, Cámara de visión surround, Alerta de tráfico cruzado trasero, Asientos de cuero sintético",5,100000,https://www.kia.com/us/en/sportage
VEH010,Jeep,Wrangler,Unlimited Rubicon,2024,SUV 4x4,Automática de 8 velocidades,81,"Blanco Brillante, Negro, Verde Sarge, Amarillo Nacho",3.6L V6,285,3604 cc,255/70R18,2,5,"4x4, Ejes Dana 44, Diferencial de deslizamiento limitado, Barras estabilizadoras desconectables, Techo removible, Puertas removibles, Sistema Uconnect 8.4 pulgadas",3,60000,https://www.jeep.com/wrangler.html

